"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 15 02:30:51 UTC 2023","Fri Dec 15 02:31:02 UTC 2023","10346","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Fri Dec 15 04:48:31 UTC 2023","Fri Dec 15 04:48:34 UTC 2023","2914","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Dec 15 03:55:03 UTC 2023","Fri Dec 15 03:55:23 UTC 2023","20539","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Dec 15 03:08:44 UTC 2023","Fri Dec 15 03:08:45 UTC 2023","232","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Dec 15 02:51:34 UTC 2023","Fri Dec 15 02:51:44 UTC 2023","9996","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Dec 15 02:52:01 UTC 2023","Fri Dec 15 02:52:02 UTC 2023","1517","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Dec 15 02:42:39 UTC 2023","Fri Dec 15 02:42:43 UTC 2023","3964","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Dec 15 03:05:23 UTC 2023","Fri Dec 15 03:05:35 UTC 2023","12374","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Dec 15 03:08:43 UTC 2023","Fri Dec 15 03:08:44 UTC 2023","1780","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Dec 15 02:56:52 UTC 2023","Fri Dec 15 02:58:03 UTC 2023","71059","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Dec 15 02:29:59 UTC 2023","Fri Dec 15 02:30:24 UTC 2023","24276","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Fri Dec 15 02:32:42 UTC 2023","Fri Dec 15 02:33:03 UTC 2023","20897","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
